D,B,decay_width,decay_width_error
5,5000000,0.16407254746365746,0.00033155184960991885
5,5000000,0.16358892665495253,0.00033100641146923765
5,1000000,0.1641578119438019,0.0007419592600983278
5,1000000,0.1634338139860491,0.0007395258556447745
5,1000000,0.16290745434074372,0.0007389031797543117
5,1000000,0.16233117355072785,0.0007371493331721852
5,1000000,0.1634627274393399,0.0007406971303322755
5,1000000,0.16376765426255827,0.0007392841179526399
5,1000000,0.1639933716496802,0.000740889314432191
5,1000000,0.1633696890553862,0.0007393510622994803
5,1000000,0.16376228474406568,0.0007408483710838843
5,1000000,0.16376228474406568,0.0007408483710838843
5,1000000,0.1640271113808017,0.000742429525680248
