B_total,nitn_adapt,neval_adapt,nitn_prod,neval_prod,nhcube_batch,decay_width,decay_width_error
1000000,10,20000,10,100000,750,0.16375850295423336,2.5109127865629935e-05
1000000,10,20000,10,100000,750,0.1637538354104664,2.5306424798793995e-05
1000000,10,20000,10,100000,750,0.1637635418981383,2.529462093032742e-05
